"","Item Code","Description","Par","Unit","Comment","Week 1","Week 2","Week 3","Week 4"
"1","BCLCO","Coca-Cola (Coke) Classic, 5 gal Bag in a Box","0.00","EACH","","/","/","/","/"
"2","BDICO","Diet Coke, 5 gal Bag in a Box","0.00","EACH","","/","/","/","/"
"3","BMMLE","Minute Maid Lemonade, 5 gal Bag in a Box","0.00","EACH","","/","/","/","/"
"4","BMMOR","Fanta Orange, 5 gal Bag in a Box","0.00","EACH","","/","/","/","/"
"5","BSPRI","Sprite, 5 gal Bag in a Box","0.00","EACH","","/","/","/","/"
"6","BRATE","Fuze Raspberry Iced Tea, 5 gal Bag in a Box","0.00","EACH","","/","/","/","/"
"7","BSTRA","Fanta Strawberry, 5 gal Bag in a Box","0.00","EACH","","/","/","/","/"
"8","BZECO","Coca-Cola - Coke Zero Sugar, 5 gal Bag in a Box","0.00","EACH","","/","/","/","/"
"9","10WRTO","KingSeal - Birch Wood Toothpicks, Plain Cello Wrapped, 12/1000 count","1.00","12CS","","/","/","/","/"
"10","412W","Solo - Cup, 12 oz White Single Sided Poly Paper Hot Cup, 1000 count","0.00","CS","","/","/","/","/"
"11","12PR","Primo - Water Cup, 12 oz Clear PP, 1000 count","1.00","CS","","/","/","/","/"
"12","2BT1000","Toilet Tissue Rolls, 2-Ply Jumbo Super Soft 9""","1.00","CS","","/","/","/","/"
"13","GR800","Allied West - Optima Hardwound Roll Towels, 7.9""x800' White","2.00","CS","","/","/","/","/"
"14","2HOHA","Cup Carrier with Handle, 2 Hole","3.00","CS","","/","/","/","/"
"15","4HOHADO","Cup Carry Out Tray with Handle, Holds 4 Drinks","0.00","CS","","/","/","/","/"
"16","501GE","Dispenser Napkins, 1-Ply White, Tall-Fold 7x13.5""","4.00","CS","","/","/","/","/"
"17","DX900GE","Dispenser Napkin, 2-Ply White Interfold 24/250","5.00","CS","","/","/","/","/"
"18","MUFO","Platinum II Multifold Towels, 2-Ply White","0.00","CS","","/","/","/","/"
"19","EL1025RED","El Gavilan - Straw, 10.25"" Wrapped, 24/300 count","0.00","24CS","","/","/","/","/"
"20","1175YLPR","Primo - Wrapped Straw, 11.75"" Yellow, 6/300 count","0.00","CS","","/","/","/","/"
"21","6STIR","Unwrapped Stirrer, Sip & Stir Cocktail, 6.75"" Red/White Striped","0.00","10CS","","/","/","/","/"
"22","721PR","Primo - Foil Sheets, 12x10.75, 6/500 count","1.00","6CS","","/","/","/","/"
"23","78","Chix Pro-Quat Fresh Guy Towels, Heavy Duty Red 12.5x17","2.00","CS","","/","/","/","/"
