Tienda,Dia,HoraApertura,VentasApertura,HoraCierre,VentasCierre
Tacos Gavilan Azusa,Lunes,10:00 AM,178.57,11:00 PM,187.70
Tacos Gavilan Azusa,Martes,10:00 AM,182.59,11:00 PM,218.62
Tacos Gavilan Azusa,Miércoles,9:00 AM,124.62,11:00 PM,203.05
Tacos Gavilan Azusa,Jueves,10:00 AM,148.44,11:00 PM,241.45
Tacos Gavilan Azusa,Viernes,10:00 AM,171.44,11:00 PM,400.83
Tacos Gavilan Azusa,Sábado,10:00 AM,203.74,11:00 PM,393.46
Tacos Gavilan Azusa,Domingo,10:00 AM,150.94,11:00 PM,208.27
Tacos Gavilan Bell,Lunes,10:00 AM,189.16,11:00 PM,173.20
Tacos Gavilan Bell,Martes,10:00 AM,177.63,11:00 PM,192.24
Tacos Gavilan Bell,Miércoles,10:00 AM,199.87,11:00 PM,196.36
Tacos Gavilan Bell,Jueves,10:00 AM,189.30,11:00 PM,213.33
Tacos Gavilan Bell,Viernes,10:00 AM,248.80,11:00 PM,401.92
Tacos Gavilan Bell,Sábado,10:00 AM,224.19,11:00 PM,392.37
Tacos Gavilan Bell,Domingo,10:00 AM,225.46,11:00 PM,260.07
Tacos Gavilan Downey,Lunes,9:00 AM,135.71,11:00 PM,281.45
Tacos Gavilan Downey,Martes,9:00 AM,143.21,11:00 PM,287.15
Tacos Gavilan Downey,Miércoles,9:00 AM,253.69,11:00 PM,316.91
Tacos Gavilan Downey,Jueves,9:00 AM,239.07,11:00 PM,438.66
Tacos Gavilan Downey,Viernes,9:00 AM,318.52,11:00 PM,694.96
Tacos Gavilan Downey,Sábado,9:00 AM,282.44,11:00 PM,769.78
Tacos Gavilan Downey,Domingo,9:00 AM,237.71,11:00 PM,385.58
Tacos Gavilan Hollywood,Lunes,9:00 AM,260.84,11:00 PM,422.43
Tacos Gavilan Hollywood,Martes,9:00 AM,227.97,11:00 PM,470.28
Tacos Gavilan Hollywood,Miércoles,9:00 AM,233.07,11:00 PM,450.61
Tacos Gavilan Hollywood,Jueves,9:00 AM,220.22,11:00 PM,507.38
Tacos Gavilan Hollywood,Viernes,9:00 AM,218.77,11:00 PM,670.41
Tacos Gavilan Hollywood,Sábado,9:00 AM,219.08,11:00 PM,732.32
Tacos Gavilan Hollywood,Domingo,9:00 AM,110.48,11:00 PM,544.94
Tacos Gavilan Huntington Park,Lunes,10:00 AM,269.04,11:00 PM,322.13
Tacos Gavilan Huntington Park,Martes,9:00 AM,170.75,11:00 PM,314.04
Tacos Gavilan Huntington Park,Miércoles,10:00 AM,253.96,11:00 PM,327.70
Tacos Gavilan Huntington Park,Jueves,10:00 AM,278.79,11:00 PM,450.94
Tacos Gavilan Huntington Park,Viernes,9:00 AM,203.43,11:00 PM,549.06
Tacos Gavilan Huntington Park,Sábado,9:00 AM,213.03,11:00 PM,600.03
Tacos Gavilan Huntington Park,Domingo,9:00 AM,215.08,11:00 PM,390.66
Tacos Gavilan LA Broadway,Lunes,8:00 AM,270.93,11:00 PM,577.93
Tacos Gavilan LA Broadway,Martes,8:00 AM,222.18,11:00 PM,553.10
Tacos Gavilan LA Broadway,Miércoles,8:00 AM,249.57,11:00 PM,597.10
Tacos Gavilan LA Broadway,Jueves,8:00 AM,304.33,11:00 PM,667.92
Tacos Gavilan LA Broadway,Viernes,8:00 AM,305.76,11:00 PM,900.18
Tacos Gavilan LA Broadway,Sábado,8:00 AM,458.90,11:00 PM,1021.72
Tacos Gavilan LA Broadway,Domingo,8:00 AM,354.62,11:00 PM,660.49
Tacos Gavilan LA Central,Lunes,8:00 AM,275.17,11:00 PM,797.40
Tacos Gavilan LA Central,Martes,8:00 AM,354.76,11:00 PM,901.99
Tacos Gavilan LA Central,Miércoles,8:00 AM,245.68,11:00 PM,872.16
Tacos Gavilan LA Central,Jueves,8:00 AM,335.91,11:00 PM,973.47
Tacos Gavilan LA Central,Viernes,8:00 AM,384.52,11:00 PM,1419.80
Tacos Gavilan LA Central,Sábado,8:00 AM,223.15,11:00 PM,1546.97
Tacos Gavilan LA Central,Domingo,8:00 AM,163.85,11:00 PM,971.16
Tacos Gavilan La Puente,Lunes,9:00 AM,81.61,11:00 PM,234.75
Tacos Gavilan La Puente,Martes,9:00 AM,95.03,11:00 PM,263.96
Tacos Gavilan La Puente,Miércoles,9:00 AM,51.36,11:00 PM,257.67
Tacos Gavilan La Puente,Jueves,9:00 AM,77.49,11:00 PM,292.74
Tacos Gavilan La Puente,Viernes,9:00 AM,61.85,11:00 PM,556.62
Tacos Gavilan La Puente,Sábado,9:00 AM,100.51,11:00 PM,597.71
Tacos Gavilan La Puente,Domingo,9:00 AM,90.05,11:00 PM,298.90
Tacos Gavilan Lynwood,Lunes,9:00 AM,217.36,11:00 PM,783.35
Tacos Gavilan Lynwood,Martes,9:00 AM,241.02,11:00 PM,752.35
Tacos Gavilan Lynwood,Miércoles,9:00 AM,251.62,11:00 PM,782.23
Tacos Gavilan Lynwood,Jueves,9:00 AM,306.09,11:00 PM,905.45
Tacos Gavilan Lynwood,Viernes,9:00 AM,236.05,11:00 PM,1226.72
Tacos Gavilan Lynwood,Sábado,9:00 AM,277.11,11:00 PM,1282.96
Tacos Gavilan Lynwood,Domingo,9:00 AM,206.41,11:00 PM,914.74
Tacos Gavilan Norwalk,Lunes,9:00 AM,111.14,11:00 PM,567.06
Tacos Gavilan Norwalk,Martes,9:00 AM,80.04,11:00 PM,623.53
Tacos Gavilan Norwalk,Miércoles,9:00 AM,81.01,11:00 PM,669.50
Tacos Gavilan Norwalk,Jueves,9:00 AM,46.89,11:00 PM,716.43
Tacos Gavilan Norwalk,Viernes,9:00 AM,102.44,11:00 PM,1099.41
Tacos Gavilan Norwalk,Sábado,9:00 AM,97.09,11:00 PM,1177.74
Tacos Gavilan Norwalk,Domingo,9:00 AM,112.62,11:00 PM,763.10
Tacos Gavilan Rialto,Lunes,9:00 AM,160.95,11:00 PM,409.57
Tacos Gavilan Rialto,Martes,9:00 AM,208.81,11:00 PM,406.25
Tacos Gavilan Rialto,Miércoles,9:00 AM,177.96,11:00 PM,471.60
Tacos Gavilan Rialto,Jueves,9:00 AM,200.92,11:00 PM,601.99
Tacos Gavilan Rialto,Viernes,9:00 AM,234.81,11:00 PM,925.79
Tacos Gavilan Rialto,Sábado,9:00 AM,226.86,11:00 PM,991.90
Tacos Gavilan Rialto,Domingo,9:00 AM,228.11,11:00 PM,570.84
Tacos Gavilan Santa Ana,Lunes,10:00 AM,316.42,11:00 PM,324.59
Tacos Gavilan Santa Ana,Martes,10:00 AM,425.53,11:00 PM,361.65
Tacos Gavilan Santa Ana,Miércoles,10:00 AM,345.49,11:00 PM,383.44
Tacos Gavilan Santa Ana,Jueves,10:00 AM,442.28,11:00 PM,446.46
Tacos Gavilan Santa Ana,Viernes,10:00 AM,380.35,11:00 PM,741.94
Tacos Gavilan Santa Ana,Sábado,10:00 AM,387.27,11:00 PM,849.79
Tacos Gavilan Santa Ana,Domingo,10:00 AM,355.40,11:00 PM,438.39
Tacos Gavilan Slauson,Lunes,10:00 AM,322.47,11:00 PM,600.41
Tacos Gavilan Slauson,Martes,9:00 AM,245.94,11:00 PM,615.54
Tacos Gavilan Slauson,Miércoles,10:00 AM,379.06,11:00 PM,639.78
Tacos Gavilan Slauson,Jueves,10:00 AM,342.85,11:00 PM,637.19
Tacos Gavilan Slauson,Viernes,10:00 AM,406.18,11:00 PM,908.33
Tacos Gavilan Slauson,Sábado,10:00 AM,418.62,11:00 PM,978.51
Tacos Gavilan Slauson,Domingo,10:00 AM,370.56,11:00 PM,664.51
Tacos Gavilan South Gate,Lunes,9:00 AM,106.74,11:00 PM,374.42
Tacos Gavilan South Gate,Martes,9:00 AM,107.33,11:00 PM,388.82
Tacos Gavilan South Gate,Miércoles,9:00 AM,124.13,11:00 PM,406.72
Tacos Gavilan South Gate,Jueves,9:00 AM,141.96,11:00 PM,465.71
Tacos Gavilan South Gate,Viernes,9:00 AM,217.63,11:00 PM,889.06
Tacos Gavilan South Gate,Sábado,9:00 AM,167.00,11:00 PM,894.70
Tacos Gavilan South Gate,Domingo,9:00 AM,164.98,11:00 PM,440.65
Tacos Gavilan West Covina,Lunes,8:00 AM,88.97,11:00 PM,511.23
Tacos Gavilan West Covina,Martes,9:00 AM,144.85,11:00 PM,506.96
Tacos Gavilan West Covina,Miércoles,9:00 AM,172.98,11:00 PM,615.24
Tacos Gavilan West Covina,Jueves,9:00 AM,156.15,11:00 PM,613.68
Tacos Gavilan West Covina,Viernes,9:00 AM,175.35,11:00 PM,906.47
Tacos Gavilan West Covina,Sábado,9:00 AM,255.93,11:00 PM,989.89
Tacos Gavilan West Covina,Domingo,9:00 AM,178.12,11:00 PM,572.28
