Tienda,Dia,HoraApertura,VentasApertura,HoraCierre,VentasCierre
Tacos Gavilan Azusa,Lunes,10:00 AM,239.58,12:00 AM,183.42
Tacos Gavilan Azusa,Martes,10:00 AM,312.69,12:00 AM,226.81
Tacos Gavilan Azusa,Miércoles,10:00 AM,285.44,12:00 AM,205.00
Tacos Gavilan Azusa,Jueves,10:00 AM,276.79,12:00 AM,240.92
Tacos Gavilan Azusa,Viernes,10:00 AM,302.24,1:00 AM,255.34
Tacos Gavilan Azusa,Sábado,10:00 AM,283.03,1:00 AM,292.10
Tacos Gavilan Azusa,Domingo,10:00 AM,260.60,12:00 AM,215.95
Tacos Gavilan Bell,Lunes,10:00 AM,241.38,12:00 AM,178.07
Tacos Gavilan Bell,Martes,10:00 AM,225.85,12:00 AM,186.82
Tacos Gavilan Bell,Miércoles,10:00 AM,228.97,12:00 AM,195.93
Tacos Gavilan Bell,Jueves,10:00 AM,221.76,12:00 AM,234.39
Tacos Gavilan Bell,Viernes,10:00 AM,265.18,2:00 AM,164.64
Tacos Gavilan Bell,Sábado,10:00 AM,276.88,2:00 AM,225.38
Tacos Gavilan Bell,Domingo,10:00 AM,246.82,12:00 AM,248.43
Tacos Gavilan Downey,Lunes,9:00 AM,227.37,12:00 AM,282.24
Tacos Gavilan Downey,Martes,9:00 AM,256.54,12:00 AM,295.39
Tacos Gavilan Downey,Miércoles,9:00 AM,283.52,12:00 AM,313.61
Tacos Gavilan Downey,Jueves,9:00 AM,290.93,12:00 AM,439.51
Tacos Gavilan Downey,Viernes,9:00 AM,361.03,3:00 AM,673.40
Tacos Gavilan Downey,Sábado,9:00 AM,306.77,3:00 AM,723.66
Tacos Gavilan Downey,Domingo,9:00 AM,278.50,12:00 AM,399.85
Tacos Gavilan Hollywood,Lunes,9:00 AM,289.41,12:00 AM,399.17
Tacos Gavilan Hollywood,Martes,9:00 AM,307.54,12:00 AM,469.41
Tacos Gavilan Hollywood,Miércoles,9:00 AM,305.36,12:00 AM,454.44
Tacos Gavilan Hollywood,Jueves,9:00 AM,305.21,12:00 AM,520.24
Tacos Gavilan Hollywood,Viernes,9:00 AM,339.58,3:00 AM,513.85
Tacos Gavilan Hollywood,Sábado,9:00 AM,283.62,3:00 AM,535.08
Tacos Gavilan Hollywood,Domingo,9:00 AM,177.54,12:00 AM,561.52
Tacos Gavilan Huntington Park,Lunes,10:00 AM,424.49,12:00 AM,324.08
Tacos Gavilan Huntington Park,Martes,10:00 AM,378.73,12:00 AM,321.55
Tacos Gavilan Huntington Park,Miércoles,10:00 AM,374.99,12:00 AM,335.04
Tacos Gavilan Huntington Park,Jueves,10:00 AM,397.33,2:00 AM,18.25
Tacos Gavilan Huntington Park,Viernes,10:00 AM,414.44,3:00 AM,456.50
Tacos Gavilan Huntington Park,Sábado,10:00 AM,474.61,3:00 AM,530.95
Tacos Gavilan Huntington Park,Domingo,10:00 AM,417.83,12:00 AM,394.07
Tacos Gavilan LA Broadway,Lunes,8:00 AM,309.17,1:00 AM,433.08
Tacos Gavilan LA Broadway,Martes,8:00 AM,320.80,1:00 AM,411.30
Tacos Gavilan LA Broadway,Miércoles,8:00 AM,324.88,1:00 AM,459.12
Tacos Gavilan LA Broadway,Jueves,8:00 AM,327.92,2:00 AM,510.91
Tacos Gavilan LA Broadway,Viernes,8:00 AM,369.49,4:00 AM,409.61
Tacos Gavilan LA Broadway,Sábado,8:00 AM,462.64,4:00 AM,492.10
Tacos Gavilan LA Broadway,Domingo,8:00 AM,389.90,2:00 AM,560.16
Tacos Gavilan LA Central,Lunes,8:00 AM,320.73,2:00 AM,558.85
Tacos Gavilan LA Central,Martes,8:00 AM,358.60,2:00 AM,562.51
Tacos Gavilan LA Central,Miércoles,8:00 AM,350.75,2:00 AM,656.66
Tacos Gavilan LA Central,Jueves,8:00 AM,363.29,3:00 AM,414.97
Tacos Gavilan LA Central,Viernes,8:00 AM,428.19,4:00 AM,369.64
Tacos Gavilan LA Central,Sábado,8:00 AM,375.10,4:00 AM,448.43
Tacos Gavilan LA Central,Domingo,8:00 AM,275.79,2:00 AM,504.00
Tacos Gavilan La Puente,Lunes,10:00 AM,312.31,12:00 AM,239.99
Tacos Gavilan La Puente,Martes,10:00 AM,359.55,12:00 AM,274.01
Tacos Gavilan La Puente,Miércoles,10:00 AM,343.50,12:00 AM,265.23
Tacos Gavilan La Puente,Jueves,10:00 AM,341.79,12:00 AM,304.76
Tacos Gavilan La Puente,Viernes,10:00 AM,356.97,2:00 AM,285.18
Tacos Gavilan La Puente,Sábado,10:00 AM,424.95,2:00 AM,394.21
Tacos Gavilan La Puente,Domingo,10:00 AM,361.59,12:00 AM,303.67
Tacos Gavilan Lynwood,Lunes,9:00 AM,261.67,1:00 AM,546.57
Tacos Gavilan Lynwood,Martes,9:00 AM,294.28,1:00 AM,596.85
Tacos Gavilan Lynwood,Miércoles,9:00 AM,273.41,1:00 AM,651.64
Tacos Gavilan Lynwood,Jueves,9:00 AM,327.47,2:00 AM,544.48
Tacos Gavilan Lynwood,Viernes,9:00 AM,349.49,3:00 AM,560.13
Tacos Gavilan Lynwood,Sábado,9:00 AM,320.15,3:00 AM,624.37
Tacos Gavilan Lynwood,Domingo,9:00 AM,301.49,1:00 AM,800.49
Tacos Gavilan Norwalk,Lunes,9:00 AM,45.29,1:00 AM,494.03
Tacos Gavilan Norwalk,Martes,9:00 AM,39.78,1:00 AM,487.52
Tacos Gavilan Norwalk,Miércoles,9:00 AM,34.62,1:00 AM,519.99
Tacos Gavilan Norwalk,Jueves,9:00 AM,35.11,1:00 AM,621.86
Tacos Gavilan Norwalk,Viernes,9:00 AM,38.82,3:00 AM,501.72
Tacos Gavilan Norwalk,Sábado,9:00 AM,54.43,3:00 AM,640.00
Tacos Gavilan Norwalk,Domingo,9:00 AM,39.06,1:00 AM,359.74
Tacos Gavilan Rialto,Lunes,9:00 AM,170.05,12:00 AM,404.00
Tacos Gavilan Rialto,Martes,9:00 AM,227.09,12:00 AM,415.74
Tacos Gavilan Rialto,Miércoles,9:00 AM,223.83,12:00 AM,481.65
Tacos Gavilan Rialto,Jueves,9:00 AM,218.96,1:00 AM,312.27
Tacos Gavilan Rialto,Viernes,9:00 AM,258.95,3:00 AM,223.51
Tacos Gavilan Rialto,Sábado,9:00 AM,256.73,3:00 AM,236.76
Tacos Gavilan Rialto,Domingo,9:00 AM,222.04,12:00 AM,562.41
Tacos Gavilan Santa Ana,Lunes,10:00 AM,365.52,12:00 AM,322.43
Tacos Gavilan Santa Ana,Martes,10:00 AM,469.17,12:00 AM,382.06
Tacos Gavilan Santa Ana,Miércoles,10:00 AM,406.59,12:00 AM,391.77
Tacos Gavilan Santa Ana,Jueves,10:00 AM,473.00,12:00 AM,447.95
Tacos Gavilan Santa Ana,Viernes,10:00 AM,459.09,2:00 AM,270.91
Tacos Gavilan Santa Ana,Sábado,10:00 AM,485.55,2:00 AM,307.06
Tacos Gavilan Santa Ana,Domingo,10:00 AM,448.99,12:00 AM,444.76
Tacos Gavilan Slauson,Lunes,10:00 AM,392.60,1:00 AM,414.87
Tacos Gavilan Slauson,Martes,10:00 AM,495.35,1:00 AM,386.04
Tacos Gavilan Slauson,Miércoles,10:00 AM,448.91,1:00 AM,451.23
Tacos Gavilan Slauson,Jueves,10:00 AM,437.19,1:00 AM,471.00
Tacos Gavilan Slauson,Viernes,10:00 AM,476.31,3:00 AM,383.14
Tacos Gavilan Slauson,Sábado,10:00 AM,456.73,3:00 AM,389.47
Tacos Gavilan Slauson,Domingo,10:00 AM,455.08,1:00 AM,473.09
Tacos Gavilan South Gate,Lunes,10:00 AM,387.79,12:00 AM,377.37
Tacos Gavilan South Gate,Martes,10:00 AM,458.93,12:00 AM,397.97
Tacos Gavilan South Gate,Miércoles,10:00 AM,420.52,12:00 AM,419.05
Tacos Gavilan South Gate,Jueves,10:00 AM,412.75,12:00 AM,477.20
Tacos Gavilan South Gate,Viernes,10:00 AM,546.37,3:00 AM,373.76
Tacos Gavilan South Gate,Sábado,10:00 AM,510.72,3:00 AM,428.53
Tacos Gavilan South Gate,Domingo,10:00 AM,470.92,12:00 AM,464.00
Tacos Gavilan West Covina,Lunes,9:00 AM,189.03,1:00 AM,351.74
Tacos Gavilan West Covina,Martes,9:00 AM,207.23,1:00 AM,368.94
Tacos Gavilan West Covina,Miércoles,9:00 AM,232.41,1:00 AM,437.56
Tacos Gavilan West Covina,Jueves,9:00 AM,220.19,1:00 AM,474.46
Tacos Gavilan West Covina,Viernes,9:00 AM,262.93,3:00 AM,350.36
Tacos Gavilan West Covina,Sábado,9:00 AM,328.04,3:00 AM,457.25
Tacos Gavilan West Covina,Domingo,9:00 AM,236.19,1:00 AM,446.43
