Store,Date,DayOfWeek,FirstHour,FirstHourSales,LastHour,LastHourSales
Tacos Gavilan West Covina,2025-01-01,Miércoles,12:00 AM,373.69,11:00 PM,468.68
Tacos Gavilan Santa Ana,2025-01-01,Miércoles,10:00 AM,101.34,11:00 PM,674.96
Tacos Gavilan La Puente,2025-01-01,Miércoles,12:00 AM,4.55,11:00 PM,289.52
Tacos Gavilan Azusa,2025-01-01,Miércoles,10:00 AM,20.76,11:00 PM,205.22
Tacos Gavilan Rialto,2025-01-01,Miércoles,10:00 AM,102.93,11:00 PM,449.09
Tacos Gavilan LA Central,2025-01-01,Miércoles,12:00 AM,908.89,11:00 PM,1109.48
Tacos Gavilan South Gate,2025-01-01,Miércoles,10:00 AM,43.80,11:00 PM,252.40
Tacos Gavilan Bell,2025-01-01,Miércoles,10:00 AM,19.78,11:00 PM,262.27
Tacos Gavilan Downey,2025-01-01,Miércoles,10:00 AM,38.40,11:00 PM,248.16
Tacos Gavilan Huntington Park,2025-01-01,Miércoles,12:00 AM,7.87,11:00 PM,598.07
Tacos Gavilan Lynwood,2025-01-01,Miércoles,12:00 AM,786.39,11:00 PM,1074.95
Tacos Gavilan Norwalk,2025-01-01,Miércoles,12:00 AM,583.10,11:00 PM,693.83
Tacos Gavilan Slauson,2025-01-01,Miércoles,12:00 AM,604.17,11:00 PM,966.36
Tacos Gavilan Hollywood,2025-01-01,Miércoles,10:00 AM,88.23,11:00 PM,675.68
Tacos Gavilan LA Broadway,2025-01-01,Miércoles,12:00 AM,861.16,11:00 PM,836.43
Tacos Gavilan Lynwood,2025-01-02,Jueves,12:00 AM,711.51,11:00 PM,998.66
Tacos Gavilan Norwalk,2025-01-02,Jueves,12:00 AM,620.21,11:00 PM,756.53
Tacos Gavilan Slauson,2025-01-02,Jueves,12:00 AM,544.96,11:00 PM,590.38
Tacos Gavilan Hollywood,2025-01-02,Jueves,9:00 AM,451.68,11:00 PM,600.39
Tacos Gavilan LA Broadway,2025-01-02,Jueves,12:00 AM,915.91,11:00 PM,610.54
Tacos Gavilan West Covina,2025-01-03,Viernes,12:00 AM,641.53,11:00 PM,734.54
Tacos Gavilan Santa Ana,2025-01-03,Viernes,12:00 AM,736.12,11:00 PM,626.86
Tacos Gavilan La Puente,2025-01-03,Viernes,12:00 AM,311.88,11:00 PM,390.33
Tacos Gavilan Azusa,2025-01-03,Viernes,12:00 AM,291.16,11:00 PM,307.78
Tacos Gavilan Rialto,2025-01-03,Viernes,12:00 AM,575.06,11:00 PM,599.49
Tacos Gavilan LA Central,2025-01-03,Viernes,12:00 AM,999.16,11:00 PM,1244.27
Tacos Gavilan South Gate,2025-01-03,Viernes,12:00 AM,627.70,11:00 PM,739.88
Tacos Gavilan Bell,2025-01-03,Viernes,12:00 AM,350.65,11:00 PM,240.25
Tacos Gavilan Downey,2025-01-03,Viernes,12:00 AM,352.52,11:00 PM,807.20
Tacos Gavilan Huntington Park,2025-01-03,Viernes,12:00 AM,338.38,11:00 PM,516.31
Tacos Gavilan Lynwood,2025-01-03,Viernes,12:00 AM,735.88,11:00 PM,876.19
Tacos Gavilan Norwalk,2025-01-03,Viernes,12:00 AM,965.13,11:00 PM,868.32
Tacos Gavilan Slauson,2025-01-03,Viernes,12:00 AM,641.97,11:00 PM,959.67
Tacos Gavilan Hollywood,2025-01-03,Viernes,12:00 AM,495.39,11:00 PM,722.37
Tacos Gavilan LA Broadway,2025-01-03,Viernes,12:00 AM,729.49,11:00 PM,667.34
Tacos Gavilan West Covina,2025-01-04,Sábado,12:00 AM,639.10,11:00 PM,971.37
Tacos Gavilan Santa Ana,2025-01-04,Sábado,12:00 AM,371.84,11:00 PM,586.47
Tacos Gavilan La Puente,2025-01-04,Sábado,12:00 AM,310.47,11:00 PM,529.54
Tacos Gavilan Azusa,2025-01-04,Sábado,12:00 AM,187.82,11:00 PM,356.93
Tacos Gavilan Rialto,2025-01-04,Sábado,12:00 AM,429.89,11:00 PM,537.62
Tacos Gavilan LA Central,2025-01-04,Sábado,12:00 AM,1213.30,11:00 PM,1881.95
Tacos Gavilan South Gate,2025-01-04,Sábado,12:00 AM,631.90,11:00 PM,892.34
Tacos Gavilan Bell,2025-01-04,Sábado,12:00 AM,111.57,11:00 PM,335.24
Tacos Gavilan Downey,2025-01-04,Sábado,12:00 AM,480.31,11:00 PM,812.69
Tacos Gavilan Huntington Park,2025-01-04,Sábado,12:00 AM,449.87,11:00 PM,455.54
Tacos Gavilan Lynwood,2025-01-04,Sábado,12:00 AM,1228.35,11:00 PM,851.24
Tacos Gavilan Norwalk,2025-01-04,Sábado,12:00 AM,847.67,11:00 PM,980.86
Tacos Gavilan Slauson,2025-01-04,Sábado,12:00 AM,877.07,11:00 PM,1086.42
Tacos Gavilan Hollywood,2025-01-04,Sábado,12:00 AM,594.25,11:00 PM,703.69
Tacos Gavilan LA Broadway,2025-01-04,Sábado,12:00 AM,906.93,11:00 PM,944.67
Tacos Gavilan West Covina,2025-01-05,Domingo,12:00 AM,363.86,11:00 PM,275.10
Tacos Gavilan Santa Ana,2025-01-05,Domingo,9:00 AM,15.15,11:00 PM,420.69
Tacos Gavilan La Puente,2025-01-05,Domingo,9:00 AM,11.88,11:00 PM,369.02
Tacos Gavilan Azusa,2025-01-05,Domingo,9:00 AM,8.59,11:00 PM,157.97
Tacos Gavilan Rialto,2025-01-05,Domingo,12:00 AM,414.77,11:00 PM,358.66
Tacos Gavilan LA Central,2025-01-05,Domingo,12:00 AM,815.94,11:00 PM,1007.50
Tacos Gavilan South Gate,2025-01-05,Domingo,12:00 AM,34.63,11:00 PM,395.56
Tacos Gavilan Bell,2025-01-05,Domingo,10:00 AM,216.86,11:00 PM,260.23
Tacos Gavilan Downey,2025-01-05,Domingo,9:00 AM,150.33,11:00 PM,254.25
Tacos Gavilan Huntington Park,2025-01-05,Domingo,10:00 AM,275.67,11:00 PM,234.60
Tacos Gavilan Lynwood,2025-01-05,Domingo,12:00 AM,691.95,11:00 PM,917.54
Tacos Gavilan Norwalk,2025-01-05,Domingo,12:00 AM,279.86,11:00 PM,648.20
Tacos Gavilan Slauson,2025-01-05,Domingo,12:00 AM,426.05,11:00 PM,506.61
Tacos Gavilan Hollywood,2025-01-05,Domingo,8:00 AM,10.38,11:00 PM,440.72
Tacos Gavilan LA Broadway,2025-01-05,Domingo,12:00 AM,493.70,11:00 PM,722.76
Tacos Gavilan West Covina,2025-01-06,Lunes,12:00 AM,430.14,11:00 PM,606.14
Tacos Gavilan Santa Ana,2025-01-06,Lunes,10:00 AM,249.97,11:00 PM,336.17
Tacos Gavilan La Puente,2025-01-06,Lunes,9:00 AM,29.80,11:00 PM,283.16
Tacos Gavilan Azusa,2025-01-06,Lunes,10:00 AM,228.92,11:00 PM,137.85
Tacos Gavilan Rialto,2025-01-06,Lunes,9:00 AM,168.93,11:00 PM,366.86
Tacos Gavilan LA Central,2025-01-06,Lunes,12:00 AM,668.58,11:00 PM,632.95
Tacos Gavilan South Gate,2025-01-06,Lunes,9:00 AM,113.57,11:00 PM,431.38
Tacos Gavilan Bell,2025-01-06,Lunes,9:00 AM,66.18,11:00 PM,155.60
Tacos Gavilan Downey,2025-01-06,Lunes,9:00 AM,244.47,11:00 PM,185.06
Tacos Gavilan Huntington Park,2025-01-06,Lunes,12:00 AM,68.60,11:00 PM,240.70
Tacos Gavilan Lynwood,2025-01-06,Lunes,12:00 AM,498.26,11:00 PM,686.02
Tacos Gavilan Norwalk,2025-01-06,Lunes,12:00 AM,458.61,11:00 PM,540.80
Tacos Gavilan Slauson,2025-01-06,Lunes,12:00 AM,343.54,11:00 PM,501.74
