Customer,BillToName and Location,InvoiceDate,InvoiceNumber,CustomerPO,ItemCode,ACTUAL,Description,QtyOrdered,QtyShipped,UnitOfMeasure,UnitPrice,ExtensionAmt
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,4972368,LEWIS,BCLCO,BCLCO,COKE CLASSIC    5 GAL      BB,1,1,EACH,112.4,112.4
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,4972368,LEWIS,BSPRI,BSPRI,SPRITE          5 GAL      BB,1,1,EACH,112.4,112.4
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,4972370,LEWIS/CHEMICALS,IC5GLIDI,IC5GLIDI,GREEN POT N PAN LIQ DISH 5GL,1,1,PAIL,75.58,75.58
ELGA109,EL GAVILAN             NORWALK,12/31/2025,4972726,AFV,BCLCO,BCLCO,COKE CLASSIC    5 GAL      BB,3,3,EACH,112.4,337.2
ELGA109,EL GAVILAN             NORWALK,12/31/2025,4972726,AFV,BRATE,BRATE,"TEA RASPBERRY ""FUZE"" 5G BB",1,1,EACH,112.4,112.4
ELGA109,EL GAVILAN             NORWALK,12/31/2025,4972726,AFV,BSPRI,BSPRI,SPRITE          5 GAL      BB,1,1,EACH,112.4,112.4
ELGA109,EL GAVILAN             NORWALK,12/31/2025,4972728,AFV / CHEMICAL,IC4FLCL,IC4FLCL,ENZYME FLOOR CLEANER 4/1 GL,1,1,4CS,78.56,78.56
ELGA109,EL GAVILAN             NORWALK,12/31/2025,4972728,AFV / CHEMICAL,IC5GLIDI,IC5GLIDI,GREEN POT N PAN LIQ DISH 5GL,1,1,PAIL,75.58,75.58
ELG3,EL GAVILAN             LYNWOOD,12/31/2025,4972748,DT/LYNWOOD,KDL76PP,#N/D,FLAT LID 4oz DP FOOD CONT 1M,3,3,CS,32.21,96.63
ELG1,EL GAVILAN             RIALTO,12/31/2025,4972756,LEWIS/CHEMICALS,IC4DEGR,IC4DEGR,DEGREASER INFINITE 22024 4/1,1,1,4CS,43.2,43.2
ELG1,EL GAVILAN             RIALTO,12/31/2025,4972756,LEWIS/CHEMICALS,IC4FLCL,IC4FLCL,ENZYME FLOOR CLEANER 4/1 GL,1,1,4CS,78.56,78.56
ELG1,EL GAVILAN             RIALTO,12/31/2025,4972756,LEWIS/CHEMICALS,IC5GLIDI,IC5GLIDI,GREEN POT N PAN LIQ DISH 5GL,1,1,PAIL,75.58,75.58
ELGA4,EL GAVILAN           BELL,12/31/2025,4972772,CECILIA,KDL76PP,#N/D,FLAT LID 4oz DP FOOD CONT 1M,3,3,CS,32.21,96.63
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,2BT1000,2BT1000,TOILET TISS JMB #4055 12/800',1,1,CS,20.6,20.6
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,2HOHA,2HOHA,2/4 HOLE HANDLE CARRIER 250,1,1,CS,57.12,57.12
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,3BLEA,3BLEA,BLEACH *REST PRIDE*  3/1 GAL,1,1,3CS,10.07,10.07
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,412W,412W,HOT CUP PAPER WHITE 12oz 1M,1,1,CS,47.69,47.69
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,4HOHADO,4HOHADO,CARRY OUT 4 HO/HANDLE 175CT,1,1,CS,69.11,69.11
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,501GE,501GE,"NAPKIN 7x13.5 ""PC 501"" 10M",2,2,CS,35.08,70.16
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,77PB,77PB,POLY BAG 7x7 FLIPTOP    1M,1,1,CS,8.77,8.77
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,78,78,CHIX TOWEL 0078 PRO HVY 150,2,2,CS,79.33,158.66
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,8R,8R,CUP CONE 8 oz          2500,1,1,CS,101.01,101.01
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,981LID,981LID,LID FOR 1CMP BASE 300/CS,1,1,CS,31.8,31.8
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,AEASFR,AEASFR,AEROSOL ASST FRUIT 12/7oz,1,1,CS,51.42,51.42
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,DX900GE,DX900GE,NAPKIN INTRFOLD WHT US4048  6M,8,8,CS,25.13,201.04
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,EL1025RED,EL1025RED,"STRAW 10.25"" 24/300 GAVILAN",1,1,CS,50.4,50.4
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,EL1CS2G,EL1CS2G,EL GAVILAN 7x15+2.5 Seal2go,1,1,CS,27.68,27.68
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,VS504KA,#N/D,CONT 4oz *KDP4W* 1M,3,3,CS,25.83,77.49
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,ELDP22,ELDP22,CUP **EL GAVILAN**  22oz  1M,2,2,CS,55,110
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,ELDP32,ELDP32,CUP *EL GAVILAN* 32oz  600,1,1,CS,48,48
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,ELGBEVTO,ELGBEVTO,BVRG TOTE EL GAVILAN 96oz 25ct,1,1,CS,98.75,98.75
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,ELLAS2G,ELLAS2G,EL GAVILAN 21x19+10 Seal2go,1,1,CS,49,49
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,ELMES2G,ELMES2G,EL GAVILAN 15x16+7 Seal2go,1,1,CS,56,56
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,ELSDR16,ELSDR16,*EL GAVILAN*  16oz HOT CUP,1,1,CS,58,58
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,ELTSBALA,ELTSBALA,EL GAV T-SHRT BG 12x6x19 2M/CS,1,1,CS,43.85,43.85
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,EP9PR,EP9PR,"PLATE 9"" IVORY MFPP 500/CASE",10,10,CS,29.98,299.8
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,GR800,GR800,ROLL TOWEL WHITE 80672  6/800',1,1,CS,34.79,34.79
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,HESP,HESP,"SPOON HEAVY PP WHT ""HPPSWD"" 1M",2,2,CS,11.99,23.98
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,HL1020PR,HL1020PR,LID FOR HOT CUP 10-20oz 1M,1,1,CS,29,29
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,L16KRT,L16KRT,"LID SLOT 16/24 PET ""L16KRT"" 1M",2,2,CS,23.01,46.02
ELGA1,EL GAVILAN      SANTA ANA,12/31/2025,W133077,LEWIS,L32KRT,L32KRT,LID SLOT 32oz 600/CS,1,1,CS,20.13,20.13
