Date,Day,Forecast_Sales,Actual_Sales,Diff_Pct,BOH_Sug,BOH_Real,FOH_Sug,FOH_Real,Peak_Hour,Weather
2024-03-16,Fri,25158.83,23409.47,-7.47%,9,11,5,6,20:00,Normal
2024-04-19,Thu,23368.20,20649.99,-13.16%,11,11,7,0,21:00,Normal
2024-05-13,Sun,13250.61,12516.03,-5.87%,6,6,4,0,21:00,Normal
2024-06-14,Thu,22488.95,21569.91,-4.26%,11,11,6,0,21:00,Normal
2024-09-18,Tue,14242.79,11724.08,-21.48%,7,6,4,0,20:00,Normal
2024-09-20,Thu,22802.40,19313.27,-18.07%,10,10,6,0,19:00,Normal
2024-09-28,Fri,22386.20,21575.70,-3.76%,8,11,5,0,19:00,Normal
2024-09-29,Sat,19882.18,18193.43,-9.28%,10,13,6,0,19:00,Normal
2024-10-13,Sat,18898.09,17792.56,-6.21%,10,9,5,0,19:00,Normal
2024-11-22,Thu,15134.09,20994.10,27.91%,7,10,4,0,17:00,Normal

,,,,,AVERAGE METRICS,,,,
,,,,,Sales Error: 11.75%,BOH Miss: 1.30,,FOH Miss: 4.80,,
